u,v,key,osmid,highway,maxspeed,name,oneway,reversed,length,geometry,lit,surface,lanes,ref,service,tunnel,access,bridge,junction,distance,lighting,greenery,pollution,surface_quality,safety_score,speed_score,greenery_score,weight
104804,283348151,0,3878220,unclassified,20 mph,Grosvenor Road,False,True,57.64124565669188,"LINESTRING (-2.5848588 51.4630034, -2.5842715 51.4633706)",no,asphalt,,,,,,,,57.64124565669188,0.8,0.4,0.3,0.1,0.24000000000000005,0.33599999999999997,0.108,39.42661202917724
104804,21591965,0,8172814,residential,20 mph,Brighton Street,False,False,41.06142069481122,"LINESTRING (-2.5848588 51.4630034, -2.5852504 51.4632806)",no,asphalt,,,,,,,,41.06142069481122,0.8,0.6,0.4,0.1,0.24000000000000005,0.33599999999999997,0.09600000000000002,27.59327470691314
104804,282237615,0,3878220,unclassified,20 mph,Grosvenor Road,False,False,12.31565596019496,"LINESTRING (-2.5848588 51.4630034, -2.5849097 51.4629614, -2.5849703 51.4629172)",no,asphalt,,,,,,,,12.31565596019496,0.8,0.4,0.3,0.1,0.24000000000000005,0.33599999999999997,0.108,8.423908676773351
283348151,104804,0,3878220,unclassified,20 mph,Grosvenor Road,False,False,57.64124565669188,"LINESTRING (-2.5842715 51.4633706, -2.5848588 51.4630034)",no,asphalt,,,,,,,,57.64124565669188,0.8,0.4,0.3,0.1,0.24000000000000005,0.33599999999999997,0.108,39.42661202917724
283348151,859323256,0,3878220,unclassified,20 mph,Grosvenor Road,False,True,51.566663379537005,"LINESTRING (-2.5842715 51.4633706, -2.5837332 51.4636909)",no,asphalt,,,,,,,,51.566663379537005,0.8,0.4,0.3,0.1,0.24000000000000005,0.33599999999999997,0.108,35.27159775160331
283348151,283348057,0,72343201,residential,20 mph,Campbell Street,False,True,124.16104153791507,"LINESTRING (-2.5842715 51.4633706, -2.5854158 51.46423)",no,asphalt,,,,,,,,124.16104153791507,0.8,0.6,0.4,0.1,0.24000000000000005,0.33599999999999997,0.09600000000000002,83.43621991347894
21591965,104808,0,8172814,residential,20 mph,Brighton Street,False,False,91.4131992531357,"LINESTRING (-2.5852504 51.4632806, -2.586081 51.4639194)",no,asphalt,,,,,,,,91.4131992531357,0.8,0.6,0.4,0.1,0.24000000000000005,0.33599999999999997,0.09600000000000002,61.42966989810719
21591965,104804,0,8172814,residential,20 mph,Brighton Street,False,True,41.06142069481122,"LINESTRING (-2.5852504 51.4632806, -2.5848588 51.4630034)",no,asphalt,,,,,,,,41.06142069481122,0.8,0.6,0.4,0.1,0.24000000000000005,0.33599999999999997,0.09600000000000002,27.59327470691314
21591965,21591966,0,72343248,residential,20 mph,Argyle Road,False,False,99.5467313971337,"LINESTRING (-2.5852504 51.4632806, -2.5860289 51.4629135, -2.5863995 51.4627431)",yes,asphalt,,,,,,,,99.5467313971337,0.2,0.6,0.4,0.1,0.06000000000000001,0.33599999999999997,0.09600000000000002,48.976991847389776
282237615,19875363,0,487066776,unclassified,20 mph,Wilder Street,False,True,95.82893611306103,"LINESTRING (-2.5849703 51.4629172, -2.5860455 51.462375)",yes,asphalt,,,,,,,,95.82893611306103,0.2,0.4,0.3,0.1,0.06000000000000001,0.33599999999999997,0.108,48.297783800982764
282237615,104804,0,3878220,unclassified,20 mph,Grosvenor Road,False,True,12.31565596019496,"LINESTRING (-2.5849703 51.4629172, -2.5849097 51.4629614, -2.5848588 51.4630034)",no,asphalt,,,,,,,,12.31565596019496,0.8,0.4,0.3,0.1,0.24000000000000005,0.33599999999999997,0.108,8.423908676773351
